totalforce_lift,,totalforce_phase,,vortexforce_lift,,vortexforce_phase,,osc_amp_gov,
X,Y,X,Y,X,Y,X,Y,X,Y
4.709623084623088,0.2622953610175831,4.796992481203009,18.431372549019443,4.745296884185777,0.13818587105624136,4.758122743682307,38.93416927899682,3.25480769230769,0.01727748691099462
4.920170170170172,0.27106359895248777,5.007518796992482,20.392156862745082,4.970765859654755,0.13623737373737366,4.974729241877256,49.09090909090901,3.6875,0.010994764397905588
5.12069120402454,0.27573999251777015,5.187969924812032,21.56862745098033,5.137779915557701,0.13867299538595823,5.176895306859201,51.347962382445075,4.10576923076923,0.010994764397905588
5.2911340828007525,0.26463355780022435,5.378446115288222,23.13725490196066,5.33819678264123,0.13039188178077055,5.364620938628157,58.11912225705328,4.596153846153843,0.014136125654450105
5.491655116655119,0.2500198279087168,5.558897243107769,24.70588235294099,5.513561541339325,0.12211076817558297,5.5523465703971056,65.45454545454538,4.770365918803424,0.19646596858638699
5.682150098816768,0.23657519640852964,5.749373433583962,27.05882352941171,5.713978408422864,0.12259789250529984,5.754512635379058,75.04702194357367,4.979033119658123,0.2391870273414769
5.9528534945201645,0.2167005237560793,6.0401002506265655,30.980392156862536,5.997902303457867,0.11675240054869673,6.043321299638983,84.07523510971771,4.979033119658123,0.2655468295520649
6.183452683452687,0.19974859708193038,6.2205513784461175,33.72549019607834,6.206669873336548,0.11577815188926288,6.231046931407938,94.23197492163013,5.154313568376072,0.2809991273996504
6.434103975770645,0.18396576879910198,6.50125313283208,34.90196078431359,6.457190957190964,0.11188115725152747,6.4765342960288805,102.13166144200613,5.3713274572649645,0.29554246655031946
6.674729216395887,0.18104302282080054,6.751879699248121,36.862745098039,6.716062743840528,0.11967514652699829,6.7220216606498155,104.3887147335422,5.538261217948726,0.30917684700407166
6.8953023536356906,0.16701384212495318,6.962406015037594,39.607843137254804,6.966583827694944,0.12259789250529984,6.953068592057761,111.72413793103442,5.755275106837612,0.34371727748691017
7.135927594260929,0.1518155630377852,7.17293233082707,45.098039215686185,7.175351397573625,0.1274691358024691,7.212996389891693,120.18808777429467,6.005675747863254,0.36280541012216405
7.396604938271606,0.1465546202768424,7.473684210526315,50.98039215686265,7.442573887018337,0.14890260631001362,7.444043321299638,128.0877742946708,6.22268963675214,0.3909831297265849
7.607152023818694,0.13194089038533474,7.684210526315791,60.39215686274497,7.651341456897018,0.159619341563786,7.66064981949458,133.73040752351085,6.489783653846157,0.4173429319371724
7.9380117296784025,0.11732716049382708,8.005012531328322,74.5098039215685,7.893511837956286,0.17423307145529354,7.992779783393495,142.75862068965512,6.723490918803424,0.447338568935427
8.108454608454613,0.11265076692854459,8.18546365914787,85.49019607843127,7.9770188659077625,0.19030817433595193,8.18050541516245,145.5799373040752,6.948851495726505,0.4746073298429314
8.369131952465287,0.11381986531986521,8.39598997493734,108.23529411764696,8.144032921810709,0.18835967701708434,8.382671480144403,150.65830721003124,7.182558760683765,0.4973312972658519
8.54960088293422,0.11557351290684614,8.60651629072682,121.96078431372541,8.377852600074828,0.20930602319491198,8.599277978339344,154.60815047021936,7.441306089743595,0.5545956951716113
8.820304278637616,0.1190808080808079,8.877192982456137,133.72549019607834,8.561568061568064,0.2190485097892505,8.888086642599276,158.55799373040747,7.68336004273505,0.5727748691099475
9.101033726033732,0.12609539842873163,9.147869674185461,141.56862745098033,8.853842659398222,0.22050988277840122,9.148014440433208,160.25078369905953,7.90872061965813,0.5845913321698659
9.331632914966251,0.12434175084175081,9.378446115288224,149.01960784313724,9.121065148842934,0.2229455044269858,9.379061371841146,163.0721003134796,8.000534188034191,0.6082242582897033
9.612362362362367,0.12375720164609039,9.679197994987469,152.5490196078431,9.35488482710706,0.2112545205137797,9.667870036101078,164.20062695924764,8.167467948717952,0.6082242582897033
9.943222068222072,0.11498896371118583,9.989974937343355,156.8627450980391,9.622107316551773,0.20199915824915815,9.999999999999993,165.8934169278997,8.392828525641033,0.6009525887143683
10.33423808423809,0.1079743733632621,10.38095238095238,158.03921568627447,9.972836833947955,0.18153993640104737,10.375451263537904,166.4576802507837,8.593149038461544,0.5755017452006981
10.805462513795854,0.0857615039281705,10.852130325814535,156.47058823529403,10.348618459729582,0.16595195785010586,10.851985559566785,165.32915360501568,8.868589743589748,0.5473240255962764
11.286712995046335,0.09745248784137661,11.333333333333332,158.43137254901956,10.824608519052969,0.13234037909963825,11.328519855595665,165.8934169278997,9.144030448717952,0.5327806864456073
11.848171889838559,0.08809970071081175,11.924812030075188,159.9999999999999,11.308949281171511,0.14890260631001362,11.920577617328519,167.02194357366773,9.352697649572658,0.48460587550901657
12.82069890403224,0.09102244668911319,12.887218045112782,159.9999999999999,11.89349847683182,0.13087900611048742,12.87364620938628,167.58620689655174,9.644831730769237,0.44097585805700934
13.763147763147769,0.09043789749345288,13.839598997493734,160.39215686274508,12.853829298273755,0.1294176331213367,13.82671480144404,167.02194357366773,9.995392628205135,0.390074171029668
,,,,13.797458714125387,0.12454638982416744,,,10.362646901709407,0.3682591623036644
,,,,,,,,10.830061431623943,0.35098894706224515
,,,,,,,,11.322516025641033,0.3800756253635833
,,,,,,,,11.906784188034198,0.370986038394415
,,,,,,,,12.866653311965816,0.39189208842350176
,,,,,,,,13.793135683760692,0.42643251890634026
