griffin_gov,,griffin_fit,
X,Y,X,Y
0.0019208307366395743,0.8746887966804979,0.0015268649405147815,0.8780082987551863
0.004608413093393008,0.8763485477178423,0.002314653469577004,0.8780082987551863
0.006644004325811326,0.8912863070539419,0.003663219381849868,0.8796680497925311
0.00789216691345451,0.9244813278008297,0.005756050699886873,0.8796680497925311
0.017003158177868266,0.8780082987551863,0.009857560935876763,0.8813278008298755
0.028498936944351617,0.7784232365145227,0.014730731006568739,0.8697095435684647
0.043514027662271894,0.813278008298755,0.02265375435338891,0.851452282157676
0.054350368403260026,0.7800829875518671,0.03483822941813564,0.8265560165975101
0.06549367749991389,0.7551867219917012,0.06273469460367954,0.7701244813278008
0.10590637872367432,0.6970954356846475,0.08298567201899991,0.7336099585062241
0.13228034749073725,0.6257261410788382,0.13228034749073725,0.6406639004149377
0.14110185078357504,0.6174273858921162,0.18799370287693196,0.4912863070539415
0.15268649405147813,0.6240663900414933,0.234809958024483,0.3618257261410789
0.16170473665005874,0.5493775933609961,0.29539625455700796,0.23236514522821583
0.19208307366395744,0.46970954356846484,0.3313211965966809,0.13609958506224062
0.2633666306370661,0.3551867219917013,0.36110408278069844,0.07966804979253084
0.26148421855064796,0.2887966804979256,0.37969882425160373,0.05145228215767661
0.2911886579525467,0.22406639004149387,0.41680958232529847,0.031535269709543456
0.31509562095343474,0.17261410788381726,0.5095245440586169,0.01825726141078876
0.336108697427203,0.10622406639004156,0.8006206570563347,0.014937759336099532
0.45427712885813815,0.01991701244813271,,
